gene,gene_name,gene_type,Log2 IP / Input Fold Change,ip_rpkm,input_rpkm
ENSG00000242268.2,RP11-368I23.2,lincRNA,,0.0,0.0
ENSG00000167578.12,RAB4B,protein_coding,1.6364339354293331,0.673538519374,0.21664403578299998
ENSG00000270112.1,RP11-742D12.2,processed_transcript,-inf,0.0,0.0332718460493
ENSG00000078237.4,C12orf5,protein_coding,-0.808128637830263,5.27650418206,9.23883576774
ENSG00000263642.1,MIR4802,miRNA,,0.0,0.0
ENSG00000225275.4,NUP210P2,pseudogene,,0.0,0.0
ENSG00000228670.3,NANOGP2,pseudogene,,0.0,0.0
ENSG00000060642.6,PIGV,protein_coding,1.3603726328649024,3.74500622339,1.45861130741
ENSG00000231981.3,RPL7L1P12,pseudogene,inf,0.660585861299,0.0
ENSG00000201788.1,Y_RNA,misc_RNA,,0.0,0.0
ENSG00000263089.1,RP11-166P13.4,antisense,,0.0,0.0
ENSG00000167700.4,MFSD3,protein_coding,inf,0.264234351164,0.0
ENSG00000172137.14,CALB2,protein_coding,inf,0.14211184812,0.0
ENSG00000240423.1,LINC00636,lincRNA,,0.0,0.0
ENSG00000271616.1,RP11-578F21.13,pseudogene,,0.0,0.0
ENSG00000234881.1,PIGFP2,pseudogene,,0.0,0.0
ENSG00000236040.1,CHIAP1,pseudogene,,0.0,0.0
ENSG00000231105.1,RP5-1071N3.1,antisense,-inf,0.0,0.0687206060971
ENSG00000182141.5,ZNF708,protein_coding,-1.2339622527210112,2.22693445802,5.23801921057
ENSG00000243044.1,RP13-526J3.1,pseudogene,,0.0,0.0
ENSG00000197557.5,TTC30A,protein_coding,0.3945937664763567,6.181317430469999,4.70215008264
ENSG00000271100.1,RP11-697H9.5,pseudogene,-inf,0.0,1.0128108280500001
ENSG00000264981.1,RP11-434D2.10,pseudogene,,0.0,0.0
ENSG00000185105.4,MYADML2,protein_coding,,0.0,0.0
ENSG00000233540.1,DNM3-IT1,sense_intronic,,0.0,0.0
ENSG00000252650.1,RNA5SP75,rRNA,,0.0,0.0
ENSG00000102174.7,PHEX,protein_coding,-inf,0.0,0.0239347616678
ENSG00000207754.1,MIR487B,miRNA,,0.0,0.0
ENSG00000232001.1,AC108868.6,lincRNA,,0.0,0.0
ENSG00000270469.1,RP11-411B10.8,pseudogene,-inf,0.0,0.420128939992
ENSG00000269416.1,CTB-175P5.4,lincRNA,,0.0,0.0
ENSG00000252943.1,U6,snRNA,,0.0,0.0
ENSG00000269148.1,AC092301.3,antisense,,0.0,0.0
ENSG00000251538.1,RP11-166A12.1,lincRNA,,0.0,0.0
ENSG00000236667.1,AC104076.2,pseudogene,,0.0,0.0
ENSG00000166368.2,OR2D2,protein_coding,,0.0,0.0
ENSG00000078668.9,VDAC3,protein_coding,-0.35518669585008433,35.8418575983,45.8471516651
ENSG00000234900.1,RP1-278O22.2,lincRNA,,0.0,0.0
ENSG00000182648.7,AC073871.2,processed_transcript,-inf,0.0,0.228086087008
ENSG00000251044.1,CTD-2582M21.1,lincRNA,,0.0,0.0
ENSG00000101199.8,ARFGAP1,protein_coding,2.1070215773094723,2.43672167785,0.565625825861
ENSG00000249830.1,RP11-121L11.3,lincRNA,,0.0,0.0
ENSG00000226753.1,RP11-212D3.2,pseudogene,inf,3.8370199683199995,0.0
ENSG00000214062.5,RP11-1E1.1,pseudogene,0.662429163698081,9.31215896696,5.8835484330400005
ENSG00000095587.8,TLL2,protein_coding,1.7968438301470258,0.436424447613,0.125604494638
ENSG00000269113.1,FLJ00388,protein_coding,,0.0,0.0
ENSG00000064601.11,CTSA,protein_coding,2.4208157486806536,7.035261104500001,1.31383874797
ENSG00000267107.2,AC011526.1,lincRNA,-inf,0.0,0.04387628176799999
ENSG00000185947.9,ZNF267,protein_coding,-0.7857303619645636,12.8222498946,22.105108153200003
ENSG00000185652.6,NTF3,protein_coding,,0.0,0.0
ENSG00000264085.1,MIR5004,miRNA,,0.0,0.0
ENSG00000261475.2,CTD-2014E2.6,lincRNA,,0.0,0.0
ENSG00000008517.12,IL32,protein_coding,0.8282380520069934,0.16469400480799998,0.09275840944610002
ENSG00000266644.1,RP11-927P21.2,processed_transcript,inf,0.8618396399959999,0.0
ENSG00000258978.1,HIF1AP1,pseudogene,2.4989304563069616,11.055322209100002,1.95577270268
ENSG00000254465.1,PRKRIRP4,pseudogene,inf,0.106207264782,0.0
ENSG00000088179.4,PTPN4,protein_coding,0.13935330688970984,4.11891093547,3.7396665159599998
ENSG00000166634.2,SERPINB12,protein_coding,,0.0,0.0
ENSG00000177807.5,KCNJ10,protein_coding,inf,0.09089141826469999,0.0
ENSG00000070081.10,NUCB2,protein_coding,-1.9195519135164882,2.20511664229,8.34207847786
ENSG00000199812.1,U6,snRNA,,0.0,0.0
ENSG00000261789.1,RP11-709D24.5,antisense,,0.0,0.0
ENSG00000196167.5,C11orf92,protein_coding,,0.0,0.0
ENSG00000251909.1,U8,snoRNA,,0.0,0.0
ENSG00000254092.1,RP11-369E15.3,lincRNA,,0.0,0.0
ENSG00000161558.6,TMEM143,protein_coding,2.498930435811534,0.520884372299,0.09214850836539999
ENSG00000260900.1,RP11-19N8.3,pseudogene,,0.0,0.0
ENSG00000197421.5,GGT3P,pseudogene,inf,0.26471917135899997,0.0
ENSG00000203909.3,DPPA5,protein_coding,,0.0,0.0
ENSG00000239899.2,RN7SL674P,misc_RNA,-inf,0.0,0.614267958482
ENSG00000264438.1,RN7SL560P,misc_RNA,,0.0,0.0
ENSG00000219747.1,RP1-292B18.1,pseudogene,-0.3918404971286854,28.5687029298,37.484029089
ENSG00000207000.1,U6,snRNA,,0.0,0.0
ENSG00000254131.1,RP11-1007J8.1,pseudogene,,0.0,0.0
ENSG00000118972.1,FGF23,protein_coding,,0.0,0.0
ENSG00000264104.1,RP11-638L3.4,pseudogene,,0.0,0.0
ENSG00000264310.1,AL157883.1,miRNA,,0.0,0.0
ENSG00000179833.3,SERTAD2,protein_coding,0.73754136170662,7.0658184538499995,4.23779946441
ENSG00000267108.1,RP11-861E21.1,lincRNA,,0.0,0.0
ENSG00000221372.1,AC010739.1,miRNA,,0.0,0.0
ENSG00000159618.11,GPR114,protein_coding,,0.0,0.0
ENSG00000158966.9,CACHD1,protein_coding,2.603918452333975,44.4317503633,7.308628076439999
ENSG00000234892.1,Z82214.2,antisense,,0.0,0.0
ENSG00000226530.1,RP11-348F1.2,processed_transcript,-1.1031055836741186,1.14774819793,2.46555382876
ENSG00000224113.2,RP5-837J1.2,sense_overlapping,1.616560923627294,23.0897104553,7.529829788
ENSG00000227535.1,RP11-809N15.2,antisense,,0.0,0.0
ENSG00000166007.11,TRIM51HP,pseudogene,,0.0,0.0
ENSG00000265191.1,RN7SL347P,misc_RNA,,0.0,0.0
ENSG00000167768.4,KRT1,protein_coding,,0.0,0.0
ENSG00000171551.7,ECEL1,protein_coding,inf,0.325486632276,0.0
ENSG00000186300.7,ZNF555,protein_coding,-0.27244520230962394,1.63057270553,1.9694925683099997
ENSG00000264172.1,RP11-260A9.5,pseudogene,,0.0,0.0
ENSG00000147257.9,GPC3,protein_coding,2.394643904676619,24.6625132802,4.69005232379
ENSG00000199903.1,U6,snRNA,,0.0,0.0
ENSG00000174123.6,TLR10,protein_coding,,0.0,0.0
ENSG00000200058.1,RNA5SP218,rRNA,,0.0,0.0
